cell_index,confidence_score
0,0.01
1,0.02
2,0.03
3,0.04
4,0.05
5,0.06
6,0.05
7,0.06
8,0.06
9,0.06
10,0.07
11,0.07
12,0.07
13,0.07
14,0.07
15,0.07
16,0.07
17,0.08
18,0.07
19,0.08
20,0.08
21,0.07
22,0.08
23,0.08
24,0.08
25,0.07
26,0.08
27,0.08
28,0.07
29,0.07
30,0.08
31,0.06
32,0.08
33,0.08
34,0.07
35,0.07
36,0.07
37,0.07
38,0.08
39,0.07
40,0.07
41,0.08
42,0.08
43,0.07
44,0.07
45,0.07
46,0.07
47,0.07
48,0.07
49,0.07
50,0.07
51,0.08
52,0.07
53,0.07
54,0.08
55,0.08
56,0.07
57,0.08
58,0.08
59,0.08
60,0.07
61,0.07
62,0.07
63,0.07
64,0.08
65,0.07
66,0.08
67,0.08
68,0.07
69,0.08
70,0.08
71,0.07
72,0.08
73,0.08
74,0.08
75,0.09
76,0.07
77,0.06
78,0.08
79,0.08
80,0.07
81,0.07
82,0.08
83,0.07
84,0.07
85,0.07
86,0.08
87,0.07
88,0.08
89,0.08
90,0.07
91,0.07
92,0.07
93,0.07
94,0.07
95,0.07
96,0.08
97,0.08
98,0.07
99,0.07
100,0.08
101,0.08
102,0.07
103,0.08
104,0.08
105,0.08
106,0.08
107,0.07
108,0.08
109,0.07
110,0.08
111,0.07
112,0.08
113,0.07
114,0.08
115,0.08
116,0.08
117,0.09
118,0.07
119,0.06
120,0.08
121,0.07
122,0.08
123,0.08
124,0.08
125,0.07
126,0.08
127,0.08
128,0.08
129,0.07
130,0.08
131,0.08
132,0.07
133,0.07
134,0.07
135,0.07
136,0.07
137,0.07
138,0.07
139,0.07
140,0.08
141,0.08
142,0.08
143,0.08
144,0.08
145,0.08
146,0.07
147,0.07
148,0.07
149,0.07
150,0.05
151,0.08
152,0.07
153,0.06
154,0.09
155,0.07
156,0.08
157,0.07
158,0.08
159,0.07
160,0.08
161,0.08
162,0.07
163,0.07
164,0.08
165,0.08
166,0.08
167,0.08
168,0.08
169,0.08
170,0.08
171,0.08
172,0.08
173,0.08
174,0.07
175,0.09
176,0.06
177,0.08
178,0.07
179,0.08
180,0.07
181,0.08
182,0.08
183,0.08
184,0.08
185,0.07
186,0.08
187,0.08
188,0.07
189,0.08
190,0.07
191,0.07
192,0.08
193,0.08
194,0.08
195,0.07
196,0.08
197,0.08
198,0.07
199,0.07
200,0.07
201,0.07
202,0.07
203,0.08
204,0.08
205,0.07
206,0.08
207,0.08
208,0.09
209,0.08
210,0.07
211,0.07
212,0.08
213,0.08
214,0.07
215,0.07
216,0.06
217,0.07
218,0.08
219,0.07
220,0.07
221,0.07
222,0.07
223,0.07
224,0.08
225,0.08
226,0.07
227,0.07
228,0.08
229,0.07
230,0.08
231,0.07
232,0.07
233,0.08
234,0.08
235,0.08
236,0.08
237,0.08
238,0.08
239,0.08
240,0.07
241,0.08
242,0.07
243,0.09
244,0.07
245,0.07
246,0.08
247,0.08
248,0.07
249,0.07
250,0.07
251,0.08
252,0.07
253,0.07
254,0.08
255,0.09
256,0.08
257,0.07
258,0.08
259,0.08
260,0.07
261,0.07
262,0.09
263,0.06
264,0.07
265,0.08
266,0.07
267,0.08
268,0.08
269,0.08
270,0.07
271,0.08
272,0.08
273,0.08
274,0.08
275,0.08
276,0.07
277,0.08
278,0.08
279,0.08
280,0.08
281,0.08
282,0.07
283,0.08
284,0.07
285,0.08
286,0.07
287,0.07
288,0.08
289,0.08
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
