,x,y,color
0,0.21951838,-0.04877813,0
1,-3.8379097,3.2313516,1
2,-0.14348353,-0.07996945,0
3,-0.5576185,1.2792795,0
4,-1.0488964,1.356574,2
5,-1.2876052,3.5008137,2
6,15.402416,2.598043,3
7,-0.5217501,1.0852752,0
8,13.761766,-2.3848217,4
9,-4.8678493,2.4016974,1
10,-3.683165,3.0910668,1
11,-3.7282848,3.7476358,1
12,0.9203114,-0.9213851,5
13,0.023823403,0.21698366,0
14,-0.24382116,0.9524606,0
15,-1.9094523,3.1256902,2
16,15.501471,2.9765155,3
17,-4.451145,3.088095,1
18,-3.2839873,3.2794402,1
19,-3.132791,3.430945,1
20,-5.2698746,2.868709,1
21,0.6488034,-1.8824531,5
22,-2.5101237,1.5108163,2
23,-1.2800934,1.4060936,2
24,-1.8420842,3.4138515,2
25,-5.5191107,4.0453444,6
26,-4.6208086,2.6755724,1
27,-4.7027893,2.8113704,1
28,-2.6776745,1.8177729,2
29,15.842292,2.9492397,3
30,-4.546386,2.5774927,1
31,-4.868926,4.6210604,6
32,0.9740671,-2.5763721,5
33,0.5164921,-0.3068254,0
34,-0.8874762,1.0051781,0
35,-0.26917365,0.62118816,0
36,15.621988,3.0117948,3
37,-4.636878,3.4277613,1
38,-2.062318,2.6784832,2
39,-4.7235913,4.633263,6
40,-4.6751385,2.7476094,1
41,-4.5914264,2.5425806,1
42,-1.2448554,0.75189406,0
43,-5.1728334,4.607139,6
44,-5.71922,4.3971705,6
45,16.420517,0.87196565,7
46,-4.281601,3.6338603,1
47,13.847819,-2.4811873,4
48,13.968012,-2.2845373,4
49,-5.6218166,4.000092,6
50,-4.0877895,4.221246,6
51,-3.9725285,4.2606096,6
52,-5.6426353,3.5602355,6
53,-5.6871524,4.2168674,6
54,13.686113,-2.3382535,4
55,-4.8313394,4.656549,6
56,-4.5677547,4.7993126,6
57,-3.3661711,3.1025107,1
58,-4.3024373,4.5827622,6
59,-1.0127827,2.3027503,2
60,-4.5570474,3.2433772,1
61,0.7578763,-0.6740377,5
62,-5.8108573,4.2698684,6
63,-4.496418,2.512297,1
64,-1.84881,3.4684954,2
65,-3.8295121,4.415881,6
66,13.8052635,-2.4599261,4
67,1.0295218,-3.1144817,2
